1.2634472846984863 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.2737421989440918 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.2839632034301758 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.294238567352295 , [0.0402, -0.03145, 1.0055] , [0.12942, -0.5842, 4.14082] 
1.3044912815093994 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.3147954940795898 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.3250653743743896 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.3354084491729736 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.3456308841705322 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.3558990955352783 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.3661181926727295 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.3764197826385498 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.3866407871246338 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.3969309329986572 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.4071474075317383 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.4175231456756592 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.4277501106262207 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.4380524158477783 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.4482765197753906 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.4585590362548828 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.4688291549682617 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.4791014194488525 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.4893252849578857 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.4995932579040527 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.5098161697387695 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.5201144218444824 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.5303552150726318 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.5406687259674072 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.5508875846862793 , [0.07739, -0.02268, 1.01166] , [0.12593, -0.56611, 4.12427] 
1.56117582321167 , [0.07752, 0.0104, 1.01335] , [0.1264, -0.51441, 4.06247] 
1.5714523792266846 , [0.07752, 0.0104, 1.01335] , [0.1264, -0.51441, 4.06247] 
1.5817375183105469 , [0.07752, 0.0104, 1.01335] , [0.1264, -0.51441, 4.06247] 
1.5919592380523682 , [0.07752, 0.0104, 1.01335] , [0.1264, -0.51441, 4.06247] 
