0.21638917922973633 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.22678422927856445 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.2370619773864746 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.2473907470703125 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.2576925754547119 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.2679738998413086 , [-0.09173, -0.00981, 0.99684] , [0.36804, -0.57234, 4.11848] 
0.27820801734924316 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.2884852886199951 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.29872632026672363 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.3090803623199463 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.31929850578308105 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.32959961891174316 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.3398153781890869 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.3501558303833008 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.36044788360595703 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.3707454204559326 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.3809640407562256 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.39125919342041016 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.40148067474365234 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.41179966926574707 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.42202258110046387 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.4323272705078125 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.44254040718078613 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.4529414176940918 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.46324777603149414 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.47356438636779785 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.4837796688079834 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.4940755367279053 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.5042934417724609 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.5146090984344482 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.5248212814331055 , [-0.05434, -0.17711, 0.99552] , [0.12251, -0.51307, 4.08689] 
0.5351130962371826 , [-0.03043, -0.09761, 0.99505] , [0.19819, -0.54855, 4.17963] 
0.5453581809997559 , [-0.03043, -0.09761, 0.99505] , [0.19819, -0.54855, 4.17963] 
0.5556545257568359 , [-0.03043, -0.09761, 0.99505] , [0.19819, -0.54855, 4.17963] 
0.565943717956543 , [-0.03043, -0.09761, 0.99505] , [0.19819, -0.54855, 4.17963] 
0.5762431621551514 , [-0.03043, -0.09761, 0.99505] , [0.19819, -0.54855, 4.17963] 
